"Timestamp","Was ist Ihr Geschlecht?","Bitte geben Sie Ihr Alter an","Welchen Abschluss besitzen Sie?","Wie viele Kinder haben Sie?","Was ist Ihr Beschäftigungsstatus?","Wie viel Geld in etwa geben Sie monatlich für Lebensmittel aus?","Sind Sie im Homeoffice für Ihre Arbeit bzw. Ihr Studium?","Wie oft pro Monat nutzen Sie einen Lieferdienst?","Nutzten Sie vor Beginn der Coronakrise Lieferdienste?","Nutzen Sie Lieferdienste seit Beginn der Coronapandemie öfter, seltener oder gleich oft wie zuvor?","Nutzen Sie vorwiegend die Lieferdienste einzelner Restaurants oder große Online-Plattformen für Ihre Essensbestellungen?","Auf welche Art bestellen Sie?","Seit Beginn der Coronakrise nutze Ich das Internet häufiger um mir Essen zu bestellen.","Zu welcher bestimmten Essenszeiten benutzen Sie Lieferdienste am häufigsten, um Ihr Essen zu bestellen?","Hat sich Ihr Zahlungsverhalten im Zuge der Krise und der Umstellungen verändert?","Wie oft pro Monat nutzen Sie Takeaways?","Nutzten Sie vor Beginn der Coronakrise Takeaways?","Nutzen Sie seit Beginn der Coronakrise häufiger, seltener oder gleich oft Takeaways?","Können Sie sich vorstellen ein Konzept wie Kochboxen zu nutzen?","Sind Sie nach der Lockerung der Coronamaßnahmen im späten Frühling bzw. Sommer wieder häufiger ins Restaurant gegangen anstatt Essen zu bestellen?","Können Sie sich vorstellen nach der Coronapandemie wieder öfter in Restaurants essen zu gehen?","Denken Sie, dass die Nutzung der Lieferdienste während der Coronapandemie einen dauerhaften Effekt auf das Konsumverhalten im Bereich Gastronomie haben wird? ","Ich nutze Takeaways, weil kein Lieferdienst verfügbar ist.","Ich nutze Kochboxen, weil ich wegen der Coronapandemie Einkäufe im Supermarkt vermeiden möchte.","Ich nutze Online-Lieferdienste, weil es bequem ist.","Ich nutze Online-Lieferdienste, weil es zeitsparend ist.","Ich nutze Online-Lieferdienste, weil es eine große Essenauswahl gibt.","Ich nutze Online-Lieferdienste, weil das Essen nicht vor Ort bestellbar ist.","Ich nutze Online-Lieferdienste, weil es Rabatte/Angebote gibt.","Ich ziehe Bestellungen oder Takeaways einem Besuch im Restaurant vor.","Ich finde das Homeoffice hat meine Essgewohnheiten verändert.","Seit ich im Homeoffice bin, bestelle ich mir häufiger etwas zu essen."
"2020/12/28 11:17:59 AM GMT+1","Männlich","24","Hauptschulabschluss","0","Schüler/Student","200","Ich arbeite im Homeoffice","2 mal pro Monat ","Ja","Seltener","Beides","Telefon;Apps;Ich bestelle lieber vor Ort","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","3 mal pro Monat","Ja","Seltener","4","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","5","5","4","5","4","5","3","4","4","3"
"2020/12/28 5:27:50 PM GMT+1","Weiblich","25","Bachelor","0","Schüler/Student","150","Ich arbeite im Homeoffice","30","Ja","Unverändert","Vorwiegend größere Online-Lieferdienste","Website","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","2-3","Ja","Gleich oft","2","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","3","1","5","5","5","1","3","2","4","3"
"2020/12/28 5:33:35 PM GMT+1","Weiblich","28","Master","0","Vollzeit angestellt","250","Ich arbeite vor Ort","2","Ja","Unverändert","Vorwiegend größere Online-Lieferdienste","Website","Nein","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","8","Ja","Öfter","3","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","5","1","5","5","1","1","1","3","1","1"
"2020/12/28 5:35:42 PM GMT+1","Weiblich","24","Bachelor","0","Schüler/Student","150","Ich arbeite vor Ort","2 - 3 mal","Ja","Unverändert","Vorwiegend größere Online-Lieferdienste","Website;Apps","Nein","Mittagessen","Ich nutze beide Methoden","2-3 mal","Nein","Gleich oft","5","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","1","1","4","5","3","1","5","1","1","1"
"2020/12/28 5:46:04 PM GMT+1","Weiblich","24","Master","0","Schüler/Student","€100 - €150","Ich arbeite im Homeoffice","1","Nein","Öfter","Vorwiegend größere Online-Lieferdienste","Website","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","1","Nein","Öfter","3","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","1","1","3","3","4","4","1","2","1","1"
"2020/12/28 6:03:47 PM GMT+1","Weiblich","41","Master","0","Vollzeit angestellt","500","Ich arbeite abwechselnd vor Ort und im Homeoffice","2-3","Ja","Öfter","Vorwiegend hauseigene Lieferdienste der Restaurants","Telefon;Website;Apps","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","4-5","Ja","Seltener","1","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","3","1","4","4","4","4","3","4","4","2"
"2020/12/28 6:16:46 PM GMT+1","Männlich","32","Master","1","Vollzeit angestellt","2500","Ich arbeite im Homeoffice","1","Nein","Unverändert","Beides","Apps","Nein","Mittagessen","Ich nutze beide Methoden","4","Ja","Gleich oft","2","Ja","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","1","2","3","2","4","4","2","3","4","2"
"2020/12/28 6:17:22 PM GMT+1","Weiblich","25","Bachelor","0","Arbeitslos","50","Ich arbeite im Homeoffice","1-2","Ja","Unverändert","Beides","Website;Apps","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","1-2","Ja","Öfter","5","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ich bin mir noch unschlüssig","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","3","2","4","4","4","3","3","3","5","3"
"2020/12/28 6:18:08 PM GMT+1","Männlich","20","Abitur/Fachabitur","0","Schüler/Student","250","Ich arbeite im Homeoffice","0","Ja","Seltener","Vorwiegend hauseigene Lieferdienste der Restaurants","Telefon","Nein","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","2-3 mal","Ja","Seltener","4","Nein","Ich bin mir noch unschlüssig","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","2","2","2","3","1","3","4","3","5","1"
"2020/12/28 6:20:16 PM GMT+1","Männlich","20","Bachelor","0","Schüler/Student","80 Euro","Ich arbeite im Homeoffice","kaum ","Ja","Öfter","Beides","Website;Apps","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","3","Nein","Öfter","4","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","5","3","4","5","3","4","3","4","5","5"
"2020/12/28 6:28:50 PM GMT+1","Weiblich","29","Bachelor","2","Selbstständig","Ca. 400€","Ich arbeite im Homeoffice","Mind. 1x","Ja","Unverändert","Vorwiegend hauseigene Lieferdienste der Restaurants","Telefon;Website;Apps;Ich bestelle lieber vor Ort","Ja","Mittagessen","Ich nutze beide Methoden","Mind. 1x","Ja","Gleich oft","2","Nein","Nein","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","3","2","5","5","5","3","3","3","3","5"
"2020/12/28 6:29:38 PM GMT+1","Männlich","22","Bachelor","Keine Angabe","Arbeitslos","400","Ich arbeite im Homeoffice","3","Ja","Unverändert","Vorwiegend größere Online-Lieferdienste","Apps","Nein","Mittagessen","Ich nutze beide Methoden","4","Ja","Seltener","3","Nein","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","3","1","4","4","4","1","5","4","1","1"
"2020/12/28 6:33:49 PM GMT+1","Weiblich","22","Mittlere Reife","0","Schüler/Student","300","Ich arbeite abwechselnd vor Ort und im Homeoffice","Ca. 2-3 mal","Ja","Öfter","Vorwiegend größere Online-Lieferdienste","Apps","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","0-1 mal","Nein","Gleich oft","3","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","5","1","5","2","3","1","1","3","5","3"
"2020/12/28 6:36:34 PM GMT+1","Männlich","32","Bachelor","0","Schüler/Student","200","Ich arbeite im Homeoffice","4","Ja","Öfter","Vorwiegend größere Online-Lieferdienste","Website;Apps","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","1","Ja","Seltener","2","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","2","1","4","5","3","2","3","2","5","4"
"2020/12/28 6:37:33 PM GMT+1","Männlich","27","Bachelor","0","Vollzeit angestellt","200","Ich arbeite abwechselnd vor Ort und im Homeoffice","0","Nein","Unverändert","Vorwiegend größere Online-Lieferdienste","Website","Nein","Abendessen","Ich nutze weiterhin Bargeld","1","Ja","Gleich oft","1","Nein","Nein","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","2","1","1","1","1","1","1","2","1","1"
"2020/12/28 6:46:26 PM GMT+1","Weiblich","25","Bachelor","0","Schüler/Student","200","Ich arbeite im Homeoffice","2-3 ","Ja","Öfter","Vorwiegend größere Online-Lieferdienste","Apps","Ja","Abendessen","Ich nutze beide Methoden","1-2","Ja","Seltener","3","Ja","Ich bin mir noch unschlüssig","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","4","1","5","5","4","3","1","3","3","4"
"2020/12/28 6:47:52 PM GMT+1","Weiblich","48","Master","2","Vollzeit angestellt","500","Ich arbeite abwechselnd vor Ort und im Homeoffice","1","Nein","Unverändert","Vorwiegend größere Online-Lieferdienste","Website","Nein","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","1","Nein","Gleich oft","3","Ja","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","3","2","2","4","2","3","2","2","2","2"
"2020/12/28 6:55:22 PM GMT+1","Männlich","30","Master","0","Vollzeit angestellt","500","Ich arbeite abwechselnd vor Ort und im Homeoffice","10x","Ja","Öfter","Beides","Telefon;Website","Ja","Mittagessen","Ich bin auf bargeldlose Bezahlung umgestiegen","1x","Ja","Gleich oft","3","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","1","1","5","5","1","1","1","1","5","5"
"2020/12/28 7:23:34 PM GMT+1","Weiblich","35)","Master","2","Vollzeit angestellt","700€","Ich arbeite abwechselnd vor Ort und im Homeoffice","3 mal","Nein","Öfter","Vorwiegend hauseigene Lieferdienste der Restaurants","Telefon","Nein","Abendessen","Ich nutze beide Methoden","4 mal","Nein","Öfter","3","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","5","1","4","4","2","4","2","2","5","2"
"2020/12/28 7:29:26 PM GMT+1","Weiblich","26","Bachelor","0","Vollzeit angestellt","150 €","Ich arbeite vor Ort","5","Ja","Öfter","Vorwiegend hauseigene Lieferdienste der Restaurants","Telefon;Website","Ja","Abendessen","Ich nutze beide Methoden","3","Ja","Öfter","3","Nein","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","3","4","4","4","5","4","2","3","3","1"
"2020/12/28 7:33:31 PM GMT+1","Männlich","25","Bachelor","0","Schüler/Student","65","Ich arbeite im Homeoffice","Dreimal pro Monat","Ja","Seltener","Vorwiegend hauseigene Lieferdienste der Restaurants","Telefon;Website","Ja","Mittagessen","Ich nutze weiterhin Bargeld","Dreimal pro Monat","Ja","Seltener","4","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","3","4","5","5","4","4","5","4","5","4"
"2020/12/28 7:34:58 PM GMT+1","Weiblich","32","Bachelor","2","Vollzeit angestellt","1000","Ich arbeite abwechselnd vor Ort und im Homeoffice","2","Ja","Unverändert","Beides","Website;Apps","Nein","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","2","Ja","Öfter","3","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","5","1","5","5","1","1","1","1","1","1"
"2020/12/28 7:40:27 PM GMT+1","Männlich","39","Bachelor","1","Vollzeit angestellt","500","Ich arbeite im Homeoffice","8","Ja","Öfter","Beides","Apps","Nein","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","10","Ja","Öfter","4","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","3","3","5","4","4","4","3","4","3","4"
"2020/12/28 7:50:48 PM GMT+1","Weiblich","34","Doktor oder höher","2","Vollzeit angestellt","1000-1500 EUR","Ich arbeite abwechselnd vor Ort und im Homeoffice","3-4 ","Nein","Öfter","Vorwiegend größere Online-Lieferdienste","Website","Ja","Mittagessen","Ich nutze weiterhin Bargeld","3-4 ","Ja","Öfter","5","Nein","Ich bin mir noch unschlüssig","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","2","3","5","5","4","5","2","4","4","2"
"2020/12/28 8:03:10 PM GMT+1","Weiblich","45","abgeschlossene Berufsausbildung","4","Vollzeit angestellt","400€","Ich arbeite vor Ort","Nul","Nein","Unverändert","Vorwiegend größere Online-Lieferdienste","Website","Nein","Abendessen","Ich nutze beide Methoden","6 mal","Ja","Gleich oft","2","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","2","2","5","4","2","3","3","3","1","5"
"2020/12/28 8:12:40 PM GMT+1","Männlich","28","Bachelor","0","Schüler/Student","200-300€","Ich arbeite vor Ort","Selten","Ja","Seltener","Beides","Website","Ja","Abendessen","Ich nutze beide Methoden","Selten","Ja","Seltener","4","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","3","4","5","5","5","4","3","3","2","3"
"2020/12/28 8:21:00 PM GMT+1","Weiblich","42","Bachelor","1","Teilzeit angestellt","200","Ich arbeite vor Ort","4","Ja","Unverändert","Beides","Telefon;Apps","Ja","Mittagessen","Ich nutze beide Methoden","4","Nein","Öfter","1","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","5","1","5","2","2","2","1","1","1","5"
"2020/12/28 8:43:44 PM GMT+1","Männlich","22","Hauptschulabschluss","0","Schüler/Student","150-200","Ich arbeite abwechselnd vor Ort und im Homeoffice","0","Nein","Unverändert","Beides","Telefon;Website;Apps","Ja","Abendessen","Ich nutze beide Methoden","8","Ja","Gleich oft","2","Nein","Ich bin mir noch unschlüssig","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","3","1","2","4","3","4","5","4","1","1"
"2020/12/28 8:55:13 PM GMT+1","Weiblich","24","Bachelor","0","Vollzeit angestellt","200-250","Ich arbeite vor Ort","2-3","Ja","Öfter","Vorwiegend größere Online-Lieferdienste","Telefon;Apps","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","0","Nein","Gleich oft","4","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","4","1","4","4","4","2","3","2","3","2"
"2020/12/28 8:57:20 PM GMT+1","Weiblich","28","abgeschlossene Berufsausbildung","1","Vollzeit angestellt","500","Ich arbeite im Homeoffice","5","Ja","Unverändert","Beides","Telefon;Website;Apps;Ich bestelle lieber vor Ort","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","2~3","Ja","Seltener","3","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ich bin mir noch unschlüssig","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","2","3","5","4","5","1","4","3","2","2"
"2020/12/28 9:38:33 PM GMT+1","Männlich","22","Hauptschulabschluss","0","Schüler/Student","80","Ich arbeite abwechselnd vor Ort und im Homeoffice","2","Ja","Unverändert","Vorwiegend größere Online-Lieferdienste","Apps","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","0","Nein","Gleich oft","4","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","3","1","5","5","2","1","3","3","2","2"
"2020/12/28 9:46:49 PM GMT+1","Weiblich","26","Bachelor","0","Vollzeit angestellt","150€","Ich arbeite vor Ort","1-2 mal","Ja","Unverändert","Beides","Apps","Ja","Abendessen","Ich nutze beide Methoden","2-3 mal","Ja","Gleich oft","3","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","5","3","5","5","5","5","5","5","1","1"
"2020/12/28 10:38:37 PM GMT+1","Männlich","21","Abitur/Fachabitur","0","Schüler/Student","100","Ich arbeite im Homeoffice","3-7","Ja","Öfter","Vorwiegend größere Online-Lieferdienste","Website;Apps","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","3","Ja","Seltener","2","Nein","Nein","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","1","1","5","4","5","2","4","3","4","5"
"2020/12/28 10:57:57 PM GMT+1","Weiblich","36","Bachelor","0","Vollzeit angestellt","500","Ich arbeite vor Ort","Ca. 4-6×","Ja","Öfter","Beides","Telefon;Website;Apps","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","4-5×","Nein","Öfter","3","Ja","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","4","4","2","3","3","2","1","2","1","1"
"2020/12/28 11:07:51 PM GMT+1","Weiblich","36","Bachelor","4","Selbstständig","900","Ich arbeite im Homeoffice","1-3 mal pro woche","Ja","Öfter","Vorwiegend größere Online-Lieferdienste","Apps","Ja","Mittagessen","Ich nutze beide Methoden","8-10","Nein","Öfter","3","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","2","5","5","5","3","5","1","3","5","5"
"2020/12/28 11:25:29 PM GMT+1","Weiblich","29","Bachelor","0","Vollzeit angestellt","300","Ich arbeite vor Ort","1-3 Mal","Ja","Unverändert","Beides","Telefon;Apps","Nein","Mittagessen","Ich bin auf bargeldlose Bezahlung umgestiegen","1-3 Mal ","Ja","Seltener","4","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","4","4","5","5","5","4","5","3","1","1"
"2020/12/28 11:31:28 PM GMT+1","Weiblich","24","Bachelor","0","Schüler/Student","200","Ich arbeite abwechselnd vor Ort und im Homeoffice","Sehr oft","Nein","Unverändert","Beides","Apps","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","Sehr oft","Ja","Öfter","5","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","5","1","5","5","2","2","1","1","5","2"
"2020/12/28 11:42:04 PM GMT+1","Weiblich","23","Abitur/Fachabitur","0","Schüler/Student","0","Ich arbeite im Homeoffice","0","Ja","Unverändert","Vorwiegend größere Online-Lieferdienste","Telefon","Nein","Abendessen","Ich nutze weiterhin Bargeld","0","Nein","Gleich oft","3","Ja","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","1","1","4","3","3","2","4","1","1","1"
"2020/12/28 11:49:01 PM GMT+1","Weiblich","31","Abitur/Fachabitur","0","Schüler/Student","500","Ich arbeite im Homeoffice","1","Ja","Unverändert","Vorwiegend größere Online-Lieferdienste","Telefon;Website","Nein","Abendessen","Ich nutze beide Methoden","1","Ja","Gleich oft","3","Nein","Nein","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","4","1","5","4","5","1","3","5","4","2"
"2020/12/28 11:55:54 PM GMT+1","Weiblich","37","Bachelor","1","Teilzeit angestellt","500€","Ich arbeite abwechselnd vor Ort und im Homeoffice","2","Ja","Öfter","Beides","Telefon;Apps","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","5x ","Ja","Öfter","5","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","3","2","5","2","5","1","1","5","5","5"
"2020/12/29 12:26:07 AM GMT+1","Weiblich","24","Abitur/Fachabitur","0","Schüler/Student","300","Ich arbeite vor Ort","3","Ja","Öfter","Beides","Apps","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","3","Ja","Öfter","5","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","3","4","5","5","5","5","5","5","5","5"
"2020/12/29 1:39:05 AM GMT+1","Weiblich","23","Bachelor","0","Schüler/Student","200","Ich arbeite im Homeoffice","Kaum","Ja","Unverändert","Vorwiegend größere Online-Lieferdienste","Apps","Nein","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","3-4","Ja","Öfter","2","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","1","1","4","4","3","5","5","4","4","2"
"2020/12/29 1:41:58 AM GMT+1","Weiblich","20","Bachelor","0","Schüler/Student","100-150€","Ich arbeite im Homeoffice","Selten","Nein","Unverändert","Vorwiegend hauseigene Lieferdienste der Restaurants","Website","Nein","Abendessen","Ich nutze beide Methoden","1-2 mal","Ja","Gleich oft","3","Ja","Ich bin mir noch unschlüssig","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","3","2","3","3","2","2","2","3","1","1"
"2020/12/29 3:41:48 AM GMT+1","Weiblich","21","Abitur/Fachabitur","0","Schüler/Student","150","Ich arbeite im Homeoffice","0","Ja","Seltener","Vorwiegend hauseigene Lieferdienste der Restaurants","Apps","Nein","Abendessen","Ich nutze beide Methoden","0","Nein","Seltener","5","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","3","4","5","2","2","5","5","2","3","2"
"2020/12/29 9:19:51 AM GMT+1","Männlich","28","Bachelor","0","Teilzeit angestellt","300","Ich arbeite im Homeoffice","6","Ja","Öfter","Vorwiegend hauseigene Lieferdienste der Restaurants","Telefon;Website","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","5","Ja","Gleich oft","5","Nein","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","5","3","5","4","5","4","4","3","4","3"
"2020/12/29 9:32:24 AM GMT+1","Weiblich","31","Master","0","Vollzeit angestellt","200","Ich arbeite abwechselnd vor Ort und im Homeoffice","1","Nein","Öfter","Vorwiegend größere Online-Lieferdienste","Apps","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","5","Nein","Öfter","3","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","4","3","4","4","4","3","4","4","4","3"
"2020/12/29 9:59:38 AM GMT+1","Weiblich","26","Master","0","Vollzeit angestellt","150","Ich arbeite abwechselnd vor Ort und im Homeoffice","2","Ja","Seltener","Vorwiegend größere Online-Lieferdienste","Apps","Ja","Mittagessen","Ich bin auf bargeldlose Bezahlung umgestiegen","Seit Dem Lockdown 4 Mal im Monat","Ja","Seltener","5","Ja","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","2","1","5","4","3","1","3","1","2","2"
