"Timestamp","Was ist Ihr Geschlecht?","Bitte geben Sie Ihr Alter an","Welchen Abschluss besitzen Sie?","Wie viele Kinder haben Sie?","Was ist Ihr Beschäftigungsstatus?","Wie viel Geld in etwa geben Sie monatlich für Lebensmittel aus?","Sind Sie im Homeoffice für Ihre Arbeit bzw. Ihr Studium?","Wie oft pro Monat nutzen Sie einen Lieferdienst?","Nutzten Sie vor Beginn der Coronakrise Lieferdienste?","Nutzen Sie Lieferdienste seit Beginn der Coronapandemie öfter, seltener oder gleich oft wie zuvor?","Nutzen Sie vorwiegend die Lieferdienste einzelner Restaurants oder große Online-Plattformen für Ihre Essensbestellungen?","Auf welche Art bestellen Sie?","Seit Beginn der Coronakrise nutze Ich das Internet häufiger um mir Essen zu bestellen.","Zu welcher bestimmten Essenszeiten benutzen Sie Lieferdienste am häufigsten, um Ihr Essen zu bestellen?","Hat sich Ihr Zahlungsverhalten im Zuge der Krise und der Umstellungen verändert?","Wie oft pro Monat nutzen Sie Takeaways?","Nutzten Sie vor Beginn der Coronakrise Takeaways?","Nutzen Sie seit Beginn der Coronakrise häufiger, seltener oder gleich oft Takeaways?","Können Sie sich vorstellen ein Konzept wie Kochboxen zu nutzen?","Sind Sie nach der Lockerung der Coronamaßnahmen im späten Frühling bzw. Sommer wieder häufiger ins Restaurant gegangen anstatt Essen zu bestellen?","Können Sie sich vorstellen nach der Coronapandemie wieder öfter in Restaurants essen zu gehen?","Denken Sie, dass die Nutzung der Lieferdienste während der Coronapandemie einen dauerhaften Effekt auf das Konsumverhalten im Bereich Gastronomie haben wird? ","Ich nutze Takeaways, weil kein Lieferdienst verfügbar ist.","Ich nutze Kochboxen, weil ich wegen der Coronapandemie Einkäufe im Supermarkt vermeiden möchte.","Ich nutze Online-Lieferdienste, weil es bequem ist.","Ich nutze Online-Lieferdienste, weil es zeitsparend ist.","Ich nutze Online-Lieferdienste, weil es eine große Essenauswahl gibt.","Ich nutze Online-Lieferdienste, weil das Essen nicht vor Ort bestellbar ist.","Ich nutze Online-Lieferdienste, weil es Rabatte/Angebote gibt.","Ich ziehe Bestellungen oder Takeaways einem Besuch im Restaurant vor.","Ich finde das Homeoffice hat meine Essgewohnheiten verändert.","Seit ich im Homeoffice bin, bestelle ich mir häufiger etwas zu essen."
"2020/12/29 10:37:25 AM GMT+1","Männlich","27","Bachelor","0","Vollzeit angestellt","300","Ich arbeite abwechselnd vor Ort und im Homeoffice","3 Mal","Ja","Öfter","Vorwiegend größere Online-Lieferdienste","Website","Nein","Abendessen","Ich nutze beide Methoden","mehr als 5 Mal","Ja","Öfter","5","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ich bin mir noch unschlüssig","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","3","3","5","3","3","5","5","3","3","3"
"2020/12/29 10:57:54 AM GMT+1","Weiblich","28","Master","0","Schüler/Student","1500€","Ich arbeite abwechselnd vor Ort und im Homeoffice","Sehr oft","Nein","Unverändert","Beides","Telefon;Website;Apps;Ich bestelle lieber vor Ort","Ja","Abendessen","Ich nutze beide Methoden","7-8 mal pro monat","Ja","Gleich oft","3","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","2","3","5","5","5","4","5","3","4","5"
"2020/12/29 11:33:46 AM GMT+1","Weiblich","33","Master","1","Selbstständig","800","Ich arbeite im Homeoffice","1","Ja","Unverändert","Beides","Website","Nein","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","5","Ja","Öfter","4","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","1","1","5","1","2","5","1","5","2","1"
"2020/12/29 2:34:44 PM GMT+1","Weiblich","27","Bachelor","0","Schüler/Student","150","Ich arbeite im Homeoffice","3","Ja","Öfter","Vorwiegend größere Online-Lieferdienste","Website","Ja","Abendessen","Ich nutze beide Methoden","1","Ja","Seltener","1","Ja","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","1","1","5","3","4","1","3","1","4","1"
"2020/12/29 2:39:39 PM GMT+1","Weiblich","21","Abitur/Fachabitur","0","Schüler/Student","160","Ich arbeite im Homeoffice","Selten","Ja","Unverändert","Vorwiegend hauseigene Lieferdienste der Restaurants","Telefon;Website","Nein","Abendessen","Ich nutze beide Methoden","3","Ja","Gleich oft","4","Nein","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","2","1","4","2","2","1","1","2","1","1"
"2020/12/29 2:44:31 PM GMT+1","Männlich","36","Master","0","Vollzeit angestellt","300","Ich arbeite im Homeoffice","10","Ja","Öfter","Vorwiegend größere Online-Lieferdienste","Apps","Nein","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","5","Ja","Öfter","1","Nein","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","1","1","5","5","3","3","2","3","2","3"
"2020/12/29 2:47:10 PM GMT+1","Weiblich","24","Bachelor","0","Schüler/Student","100","Ich arbeite im Homeoffice","2","Ja","Seltener","Vorwiegend größere Online-Lieferdienste","Website;Apps","Nein","Abendessen","Ich nutze beide Methoden","1","Ja","Seltener","4","Ja","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","1","1","4","3","3","2","4","1","5","1"
"2020/12/29 2:53:17 PM GMT+1","Weiblich","23","Bachelor","0","Vollzeit angestellt","200","Ich arbeite im Homeoffice","3","Nein","Öfter","Vorwiegend größere Online-Lieferdienste","Apps","Ja","Abendessen","Ich nutze beide Methoden","0","Nein","Gleich oft","1","Nein","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","1","1","5","3","1","1","5","2","5","5"
"2020/12/29 2:55:39 PM GMT+1","Weiblich","25","abgeschlossene Berufsausbildung","0","Schüler/Student","150","Ich arbeite abwechselnd vor Ort und im Homeoffice","2-3 mal","Ja","Unverändert","Vorwiegend größere Online-Lieferdienste","Website;Apps","Nein","Abendessen","Ich nutze beide Methoden","Alle 2 oder 3 Monate 1 mal","Ja","Gleich oft","5","Nein","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","4","2","5","5","3","3","3","3","2","1"
"2020/12/29 3:02:42 PM GMT+1","Weiblich","21","Abitur/Fachabitur","0","Schüler/Student","300","Ich arbeite im Homeoffice","2","Ja","Unverändert","Vorwiegend größere Online-Lieferdienste","Website","Nein","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","1","Ja","Gleich oft","2","Nein","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","1","1","5","4","5","3","2","1","1","1"
"2020/12/29 3:08:40 PM GMT+1","Männlich","23","Abitur/Fachabitur","0","Schüler/Student","400€","Ich arbeite im Homeoffice","5","Ja","Öfter","Vorwiegend größere Online-Lieferdienste","Apps","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","4","Ja","Gleich oft","2","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","1","1","4","4","5","2","4","1","5","5"
"2020/12/29 3:10:54 PM GMT+1","Männlich","30","Master","0","Vollzeit angestellt","500","Ich arbeite im Homeoffice","8","Ja","Öfter","Vorwiegend hauseigene Lieferdienste der Restaurants","Telefon;Website","Nein","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","0","Nein","Gleich oft","1","Ja","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","1","1","5","5","5","1","1","4","5","5"
"2020/12/29 4:10:11 PM GMT+1","Weiblich","21","Abitur/Fachabitur","0","Schüler/Student","160","Ich arbeite im Homeoffice","Selten","Ja","Unverändert","Vorwiegend hauseigene Lieferdienste der Restaurants","Telefon;Website","Nein","Abendessen","Ich nutze beide Methoden","3","Ja","Gleich oft","4","Nein","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","2","1","4","2","2","1","1","2","1","1"
"2020/12/29 4:21:45 PM GMT+1","Männlich","22","Bachelor","0","Schüler/Student","100","Ich arbeite im Homeoffice","1","Ja","Öfter","Vorwiegend hauseigene Lieferdienste der Restaurants","Telefon;Website;Apps;Ich bestelle lieber vor Ort","Ja","Abendessen","Ich nutze beide Methoden","3","Ja","Öfter","4","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","5","1","4","4","3","1","1","2","3","4"
"2020/12/29 4:45:49 PM GMT+1","Männlich","22","Bachelor","0","Schüler/Student","150","Ich arbeite im Homeoffice","2","Ja","Öfter","Vorwiegend größere Online-Lieferdienste","Apps","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","5","Ja","Öfter","2","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","5","1","5","5","4","2","4","3","3","4"
"2020/12/29 4:54:30 PM GMT+1","Männlich","25","Bachelor","0","Schüler/Student","100","Ich arbeite im Homeoffice","0","Nein","Unverändert","Vorwiegend hauseigene Lieferdienste der Restaurants","Telefon","Nein","Abendessen","Ich nutze weiterhin Bargeld","2","Ja","Gleich oft","2","Nein","Ich bin mir noch unschlüssig","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","1","2","3","3","4","4","3","4","2","3"
"2020/12/29 5:25:20 PM GMT+1","Männlich","30","Abitur/Fachabitur","0","Schüler/Student","300","Ich arbeite im Homeoffice","4","Ja","Unverändert","Vorwiegend hauseigene Lieferdienste der Restaurants","Website;Apps","Nein","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","0","Nein","Gleich oft","4","Ja","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","3","1","5","4","1","1","1","1","4","4"
"2020/12/29 5:50:58 PM GMT+1","Weiblich","25","Bachelor","0","Schüler/Student","150€","Ich arbeite im Homeoffice","1-2","Ja","Unverändert","Vorwiegend größere Online-Lieferdienste","Telefon;Website;Apps","Nein","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","2mal","Ja","Gleich oft","1","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ich bin mir noch unschlüssig","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","1","1","5","5","5","1","5","1","1","1"
"2020/12/29 6:09:30 PM GMT+1","Männlich","24","Bachelor","0","Schüler/Student","300","Ich arbeite abwechselnd vor Ort und im Homeoffice","7","Ja","Öfter","Beides","Website","Ja","Abendessen","Ich nutze beide Methoden","1","Ja","Seltener","2","Nein","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","2","1","5","4","5","3","1","3","3","5"
"2020/12/29 6:52:52 PM GMT+1","Weiblich","24","Abitur/Fachabitur","0","Schüler/Student","150","Ich arbeite im Homeoffice","0-2","Ja","Unverändert","Vorwiegend größere Online-Lieferdienste","Telefon;Website","Nein","Mittagessen","Ich nutze beide Methoden","0-1","Ja","Gleich oft","5","Nein","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","1","1","5","5","1","5","1","5","1","1"
"2020/12/29 7:22:24 PM GMT+1","Männlich","66","Master","2","In Rente","700","Ich arbeite im Homeoffice","6-8","Nein","Öfter","Beides","Website","Ja","Abendessen","Ich nutze beide Methoden","2-4","Ja","Öfter","1","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","5","3","5","4","4","3","2","2","4","4"
"2020/12/29 8:01:21 PM GMT+1","Weiblich","21","Abitur/Fachabitur","0","Schüler/Student","180€","Ich arbeite im Homeoffice","0,5 (einmal in zwei Monaten)","Ja","Öfter","Vorwiegend größere Online-Lieferdienste","Website","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","2","Ja","Gleich oft","2","Ja","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","3","1","4","4","4","1","1","1","4","2"
"2020/12/29 8:55:29 PM GMT+1","Männlich","27","Bachelor","0","Schüler/Student","200","Ich arbeite vor Ort","5","Ja","Seltener","Vorwiegend hauseigene Lieferdienste der Restaurants","Telefon;Website","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","5","Ja","Gleich oft","2","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","4","2","4","4","2","2","2","2","4","3"
"2020/12/29 10:04:37 PM GMT+1","Weiblich","27","Bachelor","0","Selbstständig","300","Ich arbeite abwechselnd vor Ort und im Homeoffice","0","Nein","Seltener","Vorwiegend hauseigene Lieferdienste der Restaurants","Website;Ich bestelle lieber vor Ort","Ja","Mittagessen","Ich nutze beide Methoden","4","Nein","Öfter","3","Nein","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","1","1","1","1","1","2","1","1","4","1"
"2020/12/29 10:30:33 PM GMT+1","Männlich","35","Master","0","Vollzeit angestellt","250","Ich arbeite im Homeoffice","0","Nein","Unverändert","Vorwiegend hauseigene Lieferdienste der Restaurants","Telefon","Nein","Abendessen","Ich nutze weiterhin Bargeld","2","Ja","Seltener","4","Nein","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","2","1","1","1","1","1","1","1","4","1"
"2020/12/30 9:05:08 AM GMT+1","Männlich","22","Abitur/Fachabitur","0","Schüler/Student","n/a","Ich arbeite im Homeoffice","0,5","Ja","Unverändert","Vorwiegend größere Online-Lieferdienste","Telefon;Apps","Nein","Abendessen","Ich nutze beide Methoden","1","Ja","Seltener","3","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","1","1","2","2","3","2","1","1","1","1"
"2020/12/30 10:16:22 AM GMT+1","Weiblich","25","Abitur/Fachabitur","0","Schüler/Student","650","Ich arbeite abwechselnd vor Ort und im Homeoffice","2-3 Mal","Ja","Unverändert","Beides","Apps","Nein","Abendessen","Ich nutze beide Methoden","Fast nie","Nein","Seltener","4","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","1","1","3","5","3","1","5","1","5","4"
"2020/12/30 10:50:39 AM GMT+1","Weiblich","45","Abitur/Fachabitur","2","Vollzeit angestellt","1000","Ich arbeite vor Ort","2","Ja","Unverändert","Beides","Telefon","Nein","Mittagessen","Ich nutze beide Methoden","2","Ja","Gleich oft","2","Nein","Ich bin mir noch unschlüssig","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","3","1","4","4","4","3","2","5","1","1"
"2020/12/30 10:59:16 AM GMT+1","Weiblich","20","Abitur/Fachabitur","0","Schüler/Student","250","Ich arbeite im Homeoffice","2","Ja","Unverändert","Beides","Telefon;Website","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","4","Ja","Gleich oft","4","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","4","2","4","2","4","2","2","1","3","2"
"2020/12/30 11:39:56 AM GMT+1","Weiblich","32","Master","1","Vollzeit angestellt","800","Ich arbeite abwechselnd vor Ort und im Homeoffice","0","Nein","Unverändert","Beides","Ich bestelle lieber vor Ort","Nein","Abendessen","Ich nutze beide Methoden","1-2","Ja","Gleich oft","1","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","1","1","1","1","1","1","1","1","1","1"
"2020/12/30 11:52:09 AM GMT+1","Weiblich","22","Abitur/Fachabitur","0","Schüler/Student","300","Ich arbeite abwechselnd vor Ort und im Homeoffice","2-10","Ja","Seltener","Vorwiegend größere Online-Lieferdienste","Apps;Ich bestelle lieber vor Ort","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","1-10","Ja","Seltener","3","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ich bin mir noch unschlüssig","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","5","1","5","5","5","5","5","5","1","3"
"2020/12/30 12:51:59 PM GMT+1","Weiblich","25","Abitur/Fachabitur","0","Schüler/Student","200","Ich arbeite im Homeoffice","1","Ja","Unverändert","Vorwiegend hauseigene Lieferdienste der Restaurants","Telefon","Nein","Abendessen","Ich nutze weiterhin Bargeld","1","Nein","Öfter","1","Ja","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","2","1","3","3","2","2","1","1","5","2"
"2020/12/30 12:58:24 PM GMT+1","Weiblich","24","Master","0","Schüler/Student","250€","Ich arbeite im Homeoffice","Nie (0 mal)","Nein","Unverändert","Vorwiegend hauseigene Lieferdienste der Restaurants","Telefon","Nein","Abendessen","Ich nutze weiterhin Bargeld","Vielleicht einmal im Vierteljahr (0,33 Mal pro Monat)","Ja","Gleich oft","1","Ja","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","1","1","1","1","1","1","1","1","1","1"
"2020/12/30 1:02:06 PM GMT+1","Weiblich","24","Bachelor","0","Schüler/Student","100€ pP","Ich arbeite im Homeoffice","1-2","Ja","Öfter","Vorwiegend größere Online-Lieferdienste","Apps","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","0-1","Ja","Gleich oft","5","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","5","4","5","4","1","1","1","3","3","3"
"2020/12/30 1:39:23 PM GMT+1","Weiblich","23","Bachelor","0","Schüler/Student","mehr als 50 €","Ich arbeite abwechselnd vor Ort und im Homeoffice","nicht so oft","Ja","Unverändert","Vorwiegend größere Online-Lieferdienste","Apps","Nein","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","nicht oft","Nein","Seltener","5","Nein","Ich bin mir noch unschlüssig","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","4","3","5","5","2","5","4","4","2","1"
"2020/12/30 2:21:22 PM GMT+1","Weiblich","24","Abitur/Fachabitur","0","Teilzeit angestellt","400€","Ich arbeite vor Ort","0 -1 Mal","Ja","Unverändert","Vorwiegend hauseigene Lieferdienste der Restaurants","Telefon;Website","Nein","Abendessen","Ich nutze beide Methoden","6 Mal","Ja","Gleich oft","2","Ja","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","3","1","4","2","1","1","1","1","1","1"
"2020/12/30 2:36:23 PM GMT+1","Männlich","Neunzehn","Abitur/Fachabitur","0","Schüler/Student","Zwischen null und zwanzig Euro","Ich arbeite im Homeoffice","Maximal ein Mal pro Monat","Nein","Öfter","Vorwiegend hauseigene Lieferdienste der Restaurants","Telefon;Ich bestelle lieber vor Ort","Nein","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","Maximal ein Mal pro Monat","Ja","Gleich oft","4","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","2","1","3","2","4","2","1","1","1","1"
"2020/12/30 2:38:02 PM GMT+1","Männlich","19","Abitur/Fachabitur","0","Schüler/Student","150-200€","Ich arbeite im Homeoffice","0","Nein","Unverändert","Vorwiegend hauseigene Lieferdienste der Restaurants","Telefon;Ich bestelle lieber vor Ort","Nein","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","1-2 mal","Ja","Gleich oft","5","Ja","Ich bin mir noch unschlüssig","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","2","3","4","4","2","3","2","2","5","2"
"2020/12/30 3:02:17 PM GMT+1","Männlich","21","Abitur/Fachabitur","0","Schüler/Student","80","Ich arbeite im Homeoffice","2","Ja","Seltener","Vorwiegend hauseigene Lieferdienste der Restaurants","Telefon;Apps","Nein","Mittagessen","Ich nutze beide Methoden","5","Ja","Öfter","3","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","2","1","3","3","4","1","4","2","5","3"
"2020/12/30 4:11:30 PM GMT+1","","25","Abitur/Fachabitur","0","Schüler/Student","70","Ich arbeite im Homeoffice","höchstens einmal","Ja","Unverändert","Vorwiegend hauseigene Lieferdienste der Restaurants","Telefon","Nein","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","höchstens einmal","Ja","Seltener","3","Nein","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","4","2","3","3","2","2","2","4","3","2"
"2020/12/30 4:36:29 PM GMT+1","","22","abgeschlossene Berufsausbildung","0","Schüler/Student","150","Ich arbeite abwechselnd vor Ort und im Homeoffice","3","Ja","Öfter","Vorwiegend größere Online-Lieferdienste","Telefon;Website","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","2","Ja","Gleich oft","1","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","2","1","5","3","5","2","1","2","3","2"
"2020/12/30 5:28:19 PM GMT+1","Männlich","21","Abitur/Fachabitur","0","Schüler/Student","200","Ich arbeite im Homeoffice","1","Nein","Öfter","Beides","Telefon;Website;Apps","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","4","Ja","Öfter","2","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","1","1","1","4","1","1","4","1","3","1"
"2020/12/30 10:41:04 PM GMT+1","Männlich","40","Master","0","Vollzeit angestellt","400","Ich arbeite abwechselnd vor Ort und im Homeoffice","1","Ja","Unverändert","Vorwiegend größere Online-Lieferdienste","Website","Nein","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","8","Ja","Öfter","3","Ja","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","5","1","5","5","5","3","1","3","5","1"
"2020/12/31 3:19:12 AM GMT+1","Männlich","23","Abitur/Fachabitur","0","Schüler/Student","150","Ich arbeite im Homeoffice","1","Ja","Unverändert","Vorwiegend größere Online-Lieferdienste","Website;Apps","Nein","Abendessen","Ich nutze weiterhin Bargeld","0","Ja","Gleich oft","1","Nein","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","1","1","4","4","5","2","1","2","1","1"
"2020/12/31 6:51:24 AM GMT+1","Weiblich","38","Master","0","Vollzeit angestellt","250","Ich arbeite im Homeoffice","1","Ja","Unverändert","Vorwiegend größere Online-Lieferdienste","Telefon;Website","Nein","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","0","Nein","Gleich oft","1","Nein","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","1","1","4","3","5","2","2","3","1","1"
"2020/12/31 3:26:33 PM GMT+1","Männlich","20","Hauptschulabschluss","0","Schüler/Student","€150","Ich arbeite vor Ort","3 mal","Ja","Seltener","Beides","Apps","Nein","Mittagessen","Ich nutze beide Methoden","1","Nein","Seltener","4","Ja","Ich bin mir noch unschlüssig","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","1","2","5","5","5","3","5","2","5","3"
"2021/01/01 12:52:41 PM GMT+1","Weiblich","22","Abitur/Fachabitur","0","Schüler/Student","50","Ich arbeite im Homeoffice","0-1 mal","Nein","Öfter","Vorwiegend größere Online-Lieferdienste","Website;Apps;Ich bestelle lieber vor Ort","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","0-1 mal","Ja","Gleich oft","5","Nein","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","3","1","5","5","5","3","5","4","5","1"
"2021/01/01 2:20:47 PM GMT+1","Weiblich","28","Bachelor","0","Schüler/Student","200","Ich arbeite im Homeoffice","1","Ja","Öfter","Vorwiegend hauseigene Lieferdienste der Restaurants","Apps","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","1","Nein","Öfter","3","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","3","3","3","3","4","3","3","4","3","2"
"2021/01/03 12:08:47 PM GMT+1","Männlich","24","Hauptschulabschluss","0","Schüler/Student","200","Ich arbeite im Homeoffice","2 mal pro Monat ","Ja","Seltener","Beides","Telefon;Apps;Ich bestelle lieber vor Ort","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","3 mal pro Monat","Ja","Seltener","4","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","5","5","4","5","4","5","3","4","4","3"
"2021/01/04 9:32:26 AM GMT+1","Weiblich","25","Master","0","Vollzeit angestellt","300","Ich arbeite abwechselnd vor Ort und im Homeoffice","1","Nein","Öfter","Vorwiegend hauseigene Lieferdienste der Restaurants","Telefon;Website;Ich bestelle lieber vor Ort","Ja","Abendessen","Ich nutze beide Methoden","3","Ja","Öfter","3","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","2","1","4","2","3","4","3","2","1","2"
"2021/01/04 1:00:46 PM GMT+1","Männlich","26","Bachelor","0","Schüler/Student","200","Ich arbeite im Homeoffice","4","Ja","Öfter","Vorwiegend größere Online-Lieferdienste","Telefon;Website","Ja","Abendessen","Ich nutze beide Methoden","2","Ja","Öfter","4","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","5","3","4","3","3","4","2","4","4","4"
"2021/01/04 2:45:37 PM GMT+1","Weiblich","25","Abitur/Fachabitur","0","Schüler/Student","200","Ich arbeite im Homeoffice","1","Ja","Seltener","Beides","Apps","Ja","Abendessen","Ich bin auf bargeldlose Bezahlung umgestiegen","0","Nein","Gleich oft","4","Ja","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","1","1","3","2","4","3","1","1","3","1"
"2021/01/04 7:17:18 PM GMT+1","Weiblich","25","Bachelor","0","Schüler/Student","400","Ich arbeite im Homeoffice","4","Ja","Öfter","Beides","Apps","Ja","Abendessen","Ich nutze beide Methoden","5","Nein","Seltener","2","Ja","Ja","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","2","2","5","5","5","5","5","5","5","5"
"2021/01/04 8:46:18 PM GMT+1","Männlich","25","abgeschlossene Berufsausbildung","0","Schüler/Student","300","Ich arbeite abwechselnd vor Ort und im Homeoffice","1-2","Ja","Unverändert","Beides","Telefon;Website;Apps;Ich bestelle lieber vor Ort","Nein","Abendessen","Ich nutze beide Methoden","1-2","Ja","Gleich oft","4","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ja","Nein, nach der Pandemie wird sich der Stand von zuvor wieder einstellen","3","1","3","3","3","3","3","3","1","1"
"2021/01/05 7:10:12 PM GMT+1","Weiblich","21","Abitur/Fachabitur","0","Schüler/Student","200","Ich arbeite im Homeoffice","1","Ja","Unverändert","Vorwiegend hauseigene Lieferdienste der Restaurants","Telefon","Nein","Abendessen","Ich nutze beide Methoden","4","Ja","Öfter","4","Ich bin wieder häufiger ins Restaurant gegangen und habe trotzdem auch Lieferdienste genutzt","Ich bin mir noch unschlüssig","Ja, Essen liefern lassen wird weiterhin beliebter und normaler sein als vor der Pandemie","5","3","1","1","1","5","4","4","1","1"